alpha,beta,sigsqr,mu0,usqr,wsqr,ximean,xisig,corr
-4.588725073780253,-0.19568022169896343,0.1859334589204222,-0.23404330104078,0.13929614182444439,0.042590515622649074,0.14918638988324934,0.9163085145997678,-0.38395255420689617
-4.630983106998173,-0.2692847709539222,0.2511412661000526,-0.2578140020566907,0.07008292581103172,0.024872151359394926,0.05123462923829043,0.771452505467974,-0.3829374273289198
-4.556401792295131,-0.097857850170079,0.19108091888914583,0.005655071348464574,0.0803286486452542,0.02539745052894926,-0.09194677617186714,0.826935908303764,-0.18202952552190285
-4.651942655326105,-0.15464450543754932,0.19058443607034117,-0.17521464747195917,0.10046424712698353,0.05938873862073244,0.09923214656751085,1.174356876860429,-0.3840889946599288
-4.5323641610849075,-0.2423307658504426,0.25163010125843976,-0.09252495632160523,0.02602702703154486,0.05805490268473736,-0.05912930858024151,0.8348013905559848,-0.37401433531966555
-4.735028911626544,-0.09310418735782558,0.2033846027358803,-0.19815446666478825,0.02399594841827005,0.0059732597037234795,-0.12024071833045134,0.8024243459496875,-0.16343137956064732
-4.50943630649707,-0.09860816589772481,0.21814852906627596,-0.23314897248953287,0.03526347741406718,0.03129149404142269,-0.0482437482746468,0.8768074612861327,-0.18202227675310415
-4.6513678619739185,-0.233558891958785,0.24477263283970627,0.08870027091163793,0.1197928995576506,0.09843512084257094,0.09808003163439705,0.7936324466137705,-0.350842211057106
-4.5676619960668345,-0.07372689045185055,0.2694199929488067,0.14196874550608787,0.5879504271505465,0.035201458821299554,0.1345355233350238,0.8276993488904508,-0.11676233996395162
-4.751580187556885,-0.28347472682645924,0.2065129293072283,0.8495339334392961,0.7678243727511775,0.02393247100183917,0.022347210586757038,0.8248082082640238,-0.4575056230325045
-4.611688979295345,-0.2102014546692838,0.1980761671258973,-0.344420217341007,0.7262579271688426,0.011023073919671568,0.07223597312281566,0.8588979583257471,-0.3759069691555889
-4.54143926091998,-0.15777851300159962,0.20523987761719606,-0.5932231190583911,0.5258216935316682,0.06590855951587216,-0.02846566075366963,1.0198829129954665,-0.3347083356997227
-4.523458835165368,-0.18336857319090816,0.19902435176238423,-0.2316942346097506,0.28648378867717494,0.05447969540633698,0.12678593209658157,0.816630225699349,-0.3182106834507748
-4.623871708493288,-0.28137714287469395,0.2431966064029572,0.2303185530931698,0.1237085069687665,0.08210410490355935,0.06397222728898708,0.8694341212626404,-0.4443979869733954
-4.513110091046323,-0.17433030499933405,0.21363796178343075,0.028367990606369138,0.13531862718049578,0.10211305622735692,0.006867149043008947,0.7753770939076524,-0.28068985811905467
-4.5721151468539025,-0.10277991845246057,0.22308688130768603,-0.06544183142848145,0.7769510942819544,0.09470339019861623,0.06473890946521568,0.7964008395053092,-0.17075651685898696
-4.622634046847093,-0.13700662657771304,0.19135070555407402,-0.11053056717022525,0.06489291555283551,0.07910047765346988,0.14274858676617191,0.7451565281344229,-0.2272778827975894
-4.710923064432738,-0.20598475048566312,0.2378542497249942,-0.021223405173636696,0.07072631965308909,0.022971696229294833,-0.0391760326780817,0.7594455821501851,-0.3054296079012265
-4.604523252015667,-0.13176091873780302,0.21376461061183757,-0.369156008544927,0.06729635820753053,0.03361501822508185,-0.08535088180897765,1.1608656018517307,-0.31408521915278115
-4.50831680783365,-0.1886498869871608,0.20552831208969422,-0.25515688022802996,0.04684993352888233,0.04388216465851552,-0.24394544365106455,0.8452783906043024,-0.3318114544086707
-4.582357100084412,-0.11843332833002686,0.23353391855722225,-0.298219259354763,0.39059304160521485,0.02440188989368151,0.005389576956918357,0.8785163333587699,-0.2104792281015945
-4.521958841491111,-0.09489235166377206,0.24360573524496987,-0.37088893699506637,0.36846548601967655,0.037469640225774384,0.28228833901027994,0.96978141656597,-0.18329084652643637
-4.637414475240581,-0.217687949840439,0.15534376746636255,-0.02770340916462817,0.046125941356286455,0.05379235376513283,0.017237705521217297,0.7107816221020852,-0.36542559150851656
-4.622563957080736,-0.21628615782753718,0.2234595862663839,-0.04559424620161338,0.045701916928481946,0.05631844839024125,0.013471202647836661,0.8446317307281409,-0.36047176386914936
-4.618729189222803,-0.14332833395271788,0.2106266803582293,-0.09559476226987487,0.024419534154505058,0.10348022636552479,0.025758448147821925,0.6755057284919836,-0.20641874633669102
-4.535150928650708,-0.30342536157221534,0.23565021901647162,-0.11074792796873394,0.10037599037702556,0.05269526451385815,-0.010990014602379972,0.7940639761020379,-0.4445841747508423
-4.654373161775169,-0.05921512686322267,0.184414728280686,0.11247769681314915,0.11250592471973972,0.038743186188359244,0.16124157950829082,0.7912465807558605,-0.10846186043516098
-4.619165187316281,-0.08895436804211997,0.19954864577822115,-0.06022152794994398,0.3403825869942072,0.0331002743182619,0.024401110165176057,0.6918332755289182,-0.13647766175809203
-4.621972281938118,-0.07931336655973541,0.14370004294861916,-0.30420961417274683,0.19724954633205105,0.06280596684439206,0.008775768542457485,0.8706039501203062,-0.17920518098571417
-4.619452066646396,-0.1383055568391069,0.15204379500120133,-0.06086614358185878,0.35225367506423644,0.11703495977531965,0.0030966165161177422,0.771362524838011,-0.26389954223768197
-4.492292688835323,-0.1781393751795577,0.2378410473731152,-0.2834244745329708,0.06722566521399292,0.026395145790573143,0.02766812867941279,0.7918706303406559,-0.2778582662887393
-4.612367113658037,-0.1795739949393898,0.2223950724283465,0.12075867616698396,0.43284438041104806,0.007603644426629173,-0.04542743476257033,0.9241695156190104,-0.33195562827981634
-4.684381029675732,-0.23125215499323182,0.20085502682271,0.24235622930375275,0.9761537020047732,0.06848063380607639,0.031852452684028476,0.8327299779990578,-0.3947822896176566
-4.576722134487178,-0.2164023133708819,0.2888193759557504,-0.5433505483338786,0.8685474056526191,0.09871842385542318,0.029681935080981797,0.9131559220969963,-0.34510944904697083
-4.57520325144663,-0.21848175265512176,0.1929658987076967,-0.3936552976943478,0.4306782887484662,0.2884433357380952,0.27438852643385964,0.9404512904325371,-0.42368901998573644
